"";"rp.object@id";"score";"percentile"
"332";1016;0,0132124612297026;6
"333";1020;0,0487298987021209;70
"334";1027;0,0381667126686284;55
"335";1031;0,0134334320426274;7
"336";1036;0,054428593649858;75
"337";1038;0,0661044180059672;83
"338";1040;0,0240950556467798;30
"339";1045;0,0225626406373533;27
"340";1047;0,0237542395875729;29
"341";1051;0,0773825269766049;88
"342";1052;0,0241478191171678;31
"343";1062;0,229909744271962;97
"344";1065;0,236459163865178;97
"345";1070;0,0561483036971543;76
"346";1071;0,0226405359930264;27
"347";1080;0,0833920236543092;89
"348";1081;0,0522972276410974;74
"349";1091;0,023666872505953;29
"350";1092;0,0548096696123516;75
"351";1100;0,027559802550224;37
"352";1101;0,0512882599874937;72
"353";1105;0,0143627987593505;9
"354";1112;0,0287740180920258;39
"355";1113;0,0279239392649354;38
"356";1114;0,0512491934062815;72
"357";1118;0,478730455260409;98
"358";1119;0,0132193030468893;6
"359";1120;0,0335486303110824;47
"360";1122;0,0963314784437556;92
"361";1127;0,023962831194632;30
"362";1132;0,012465334792921;4
"363";1134;0,0394251407737998;58
"364";1147;0,0399519201530696;59
"365";1150;0,0239863015514356;30
"366";1153;0,0585953448563394;78
"367";1154;0,0263579233311034;35
"368";1157;0,012772616201735;5
"369";1158;0,0330851305286171;46
"370";1162;0,413865252295694;97
"371";1163;0,0470344741819838;68
"372";1164;0,0148786717752235;10
"373";1167;0,0244890484143358;32
"374";1169;0,0444600164983307;65
"375";1171;0,00909961685823755;0
"376";1172;0,025319386162298;33
"377";1174;0,0563711096391839;76
"378";1181;0,0161550001013603;13
"379";1184;0,0681571860928849;83
"380";1192;0,0354598999340379;51
"381";1194;0,0352308986600174;50
"382";1197;0,0238428713332928;30
"383";1199;0,0340465703588309;48
"384";1200;0,0333825008537652;46
"385";1207;0,023150428753877;28
"386";1209;0,0171975916803503;16
"387";1211;0,0556302546146791;75
"388";1212;0,0627613029565803;81
"389";1214;0,0616814399237771;80
"390";1218;0,0115732125119098;3
"391";1220;0,0378857319068047;55
"392";1223;0,0177089034847656;17
"393";1255;0,0367806033897988;53
"394";1257;0,0797778445602867;88
"395";1262;0,0278396660101641;38
"396";1263;0,0251801678525816;33
"397";1267;0,0303004902717546;42
"398";1269;0,046534097259901;67
"399";1270;0,0119695817875895;3
"400";1271;0,021271767114679;24
